MOD NAME,PAGE LINK,NEXUS DOWNLOAD LINK,VERSION,COMMENT
USE MOD ORGANIZER 2,https://www.nexusmods.com/morrowind/mods/52345,"IGNORE ""NEXUS DOWNLOAD LINK"", this category exists in case the mod gets taken down. Most of the links are for outdated versions of the mods.","IGNORE ""VERSIONS"". This only shows which version of the mod is linked in ""NEXUS DOWNLOAD LINK""","Easier conflict resolution, FOMOD installers, exporting everything straight to openmw.cfg thanks to https://www.nexusmods.com/morrowind/mods/52345 Once your modlist is set up, do not launch the game through MO2 - MO2 is only for managing your modlist. Instead, launch the game using openmw.exe"
,https://openmw.org/downloads/,,,"When installed, Lua mods and .omwaddon files will appear greyed out in Mod Organizer 2. However, as long as you set the data directory to the location containing the .omwscript or .omwaddon files, they are installed correctly."
OpenMW (0.49 Dev Build),https://openmw.org/downloads/,,,"Download under ""Development Builds."" This list serves solely as documentation of my loadout. I do not provide any support or assistance with modlist installation. I bear no responsibility in case of any issues."
Vanilla Textures Normal Mapped,https://www.nexusmods.com/morrowind/mods/52567,,,
BUG FIXES / PATCHES,,,,
Official Plugins - Unofficial Patch,https://www.nexusmods.com/morrowind/mods/43931,https://www.nexusmods.com/morrowind/mods/43931?tab=files&file_id=1000030287,3.2.0,"Individual. Delete bcsounds.esp, maser_inex.esp"
Expansion Delay,https://www.nexusmods.com/morrowind/mods/47588,https://www.nexusmods.com/morrowind/mods/47588?tab=files&file_id=1000022864,1.3,"Load before Patch for Purist, Version 1.3"
Patch for Purists,https://www.nexusmods.com/morrowind/mods/45096,https://www.nexusmods.com/morrowind/mods/45096?tab=files&file_id=1000019704,4.0.2,
Buoyant Lord Vivec,https://www.nexusmods.com/morrowind/mods/48312,https://www.nexusmods.com/morrowind/mods/48312?tab=files&file_id=1000019198,1,Version 1
No More Stage Diving,https://www.nexusmods.com/morrowind/mods/47738,https://www.nexusmods.com/morrowind/mods/47738?tab=files&file_id=1000017973,1.1,
Portable Homes OpenMW,https://www.nexusmods.com/morrowind/mods/47969,https://www.nexusmods.com/morrowind/mods/47969?tab=files&file_id=1000018401,1.0,Yurt Crafting version
Same Low Price Fix,https://www.nexusmods.com/morrowind/mods/49671,https://www.nexusmods.com/morrowind/mods/49671?tab=files&file_id=1000024354,1.0,
Tel Fyr Amulet Fix,https://www.nexusmods.com/morrowind/mods/45209,https://www.nexusmods.com/morrowind/mods/45209?tab=files&file_id=1000008592,1.0,
Pikas Miscellaneous Mods,https://www.nexusmods.com/morrowind/mods/46364,,,"Better Propylon Index Mesh, Better Propylon Teleport Script, Better Siege at Firemoth Followers, Fixed Adamantium Armor Meshes, Script Fixes"
ASSETS,,,,
OAAB_Data,https://www.nexusmods.com/morrowind/mods/49042,,,
OAAB Data (HD),https://www.nexusmods.com/morrowind/mods/49042,,,
OAAB Data Normal Mapped,https://www.nexusmods.com/morrowind/mods/52567,,,
An Addendum to Tamrielic Lore Data,https://www.nexusmods.com/morrowind/mods/50647,,,
AATL Data - An Addendum to Tamrielic Lore Data Normal Mapped,https://www.nexusmods.com/morrowind/mods/52567,,,
Tamriel Data (HD),https://www.nexusmods.com/morrowind/mods/44537,,,
Tamriel_Data Normal Mapped,https://www.nexusmods.com/morrowind/mods/52567,,,
Tamriel Data Graveyeard,https://www.nexusmods.com/morrowind/mods/52000,,,
DIALOGUE,,,,
FMI - NotAllDunmer,https://www.nexusmods.com/morrowind/mods/47569?tab=description,https://www.nexusmods.com/morrowind/mods/47569?tab=files&file_id=1000017154,1.0,
So. You're the Nerevarine.,https://www.nexusmods.com/morrowind/mods/46896,https://www.nexusmods.com/morrowind/mods/46896?tab=files&file_id=1000014892,1.5,
LDM - Context Matters,https://www.nexusmods.com/morrowind/mods/48273,https://www.nexusmods.com/morrowind/mods/45191?tab=files&file_id=1000010269,1.5,
Free The Slaves,https://www.nexusmods.com/morrowind/mods/45191,https://www.nexusmods.com/morrowind/mods/45191?tab=files&file_id=10000102699,2.0,
FMI - Service Refusal and Contraband,https://www.nexusmods.com/morrowind/mods/47456,https://www.nexusmods.com/morrowind/mods/47456?tab=files&file_id=1000020456,1.9.3,
Greetings for No Lore,https://www.nexusmods.com/morrowind/mods/46063,https://www.nexusmods.com/morrowind/mods/46063?tab=files&file_id=1000016661,2.0,
Great Service,https://www.nexusmods.com/morrowind/mods/47767,https://www.nexusmods.com/morrowind/mods/47767?tab=files&file_id=1000019303,1.11,
Silent Assassins,https://www.nexusmods.com/morrowind/mods/44371,https://www.nexusmods.com/morrowind/mods/44371?tab=files&file_id=1000005975,1.0,
Tunnel Cough,https://www.nexusmods.com/morrowind/mods/47603,https://www.nexusmods.com/morrowind/mods/47603?tab=files&file_id=1000017235,1.0,
FMI - Current Councilors,https://www.nexusmods.com/morrowind/mods/47342,https://www.nexusmods.com/morrowind/mods/47342?tab=files&file_id=1000016398,1.0,
Oath to Saint Roris Instead,https://www.nexusmods.com/morrowind/mods/47339/,https://www.nexusmods.com/morrowind/mods/47339?tab=files&file_id=1000027197,1.2,
Raym's Vampire Rumors,https://www.nexusmods.com/morrowind/mods/48469,https://www.nexusmods.com/morrowind/mods/48469?tab=files&file_id=1000019597,1.2,
Djangos Dialogue,https://www.nexusmods.com/morrowind/mods/47253,https://www.nexusmods.com/morrowind/mods/47253?tab=files&file_id=1000019280,1.42,Patch for Purists Patch https://www.nexusmods.com/morrowind/mods/48955?tab=files
Almalexia Voice Addon ElevenAI Edition,https://www.nexusmods.com/morrowind/mods/52311,,,
Barilzar Voice,https://www.nexusmods.com/morrowind/mods/31655,https://www.nexusmods.com/morrowind/mods/31655?tab=files&file_id=60549,-,
Dagoth Gares Voice,https://www.nexusmods.com/morrowind/mods/593,https://www.nexusmods.com/morrowind/mods/593?tab=files&file_id=16318,-,
Dagoth Ur Voice,https://www.nexusmods.com/morrowind/mods/592,https://www.nexusmods.com/morrowind/mods/592?tab=files&file_id=14349,-,"Fix: DYI Recipies section https://www.nexusmods.com/morrowind/mods/48955? , Beware the Sixth House must overwrite this"
OpenMW Lua helper utility,https://www.nexusmods.com/morrowind/mods/54629,,,
